userName,score,content,length,at,sentiment_label
TheDarkShadowCraft,5,"Gamenya candu jujur, saya main sampai 5 Tahun Ndak bosan bosan. tapi kendala utama di game ini adalah balancing kartu yang kurang rata dimana banyak kartu yang jarang di pake makin jarang kepake dan malah fokus ke kartu kartu top aja blancenya, dan kebiasaan rilis kartu yang broken terus terusan yang merusak beberapa season, dan pada akhirnya selalu di nerf akhir season dan season berikutnya di ulang. + kembalikan season shop supaya progresion tidak terlalu bergantung pada hoki hokian lucky box.",500,2025-06-30 20:56:17,negative
William Markus,1,"kalau mau tetap di mainin di perbaiki lah, mikir pakai otak masa pas main tiba2 login ulang pas pertandingan, padahal jaringan 5G, spek hp sudah bagus begini, buat kalah ajaa itu bodoooo, di perbaiki laahhh",206,2025-07-06 14:57:46,negative
Awit Alit,5,"suka dengan update terbaru. banyak mini game seru, dan semua kartu seimbang. cuma kendala pada penentuan lawan. tapi kalau tau triknya, itu justru memberikan keseruan berlipat ganda",181,2025-07-01 17:42:20,positive
Ikbal Rillah,1,ga paham deh sama dev padahal yg donwload banyak terus comunitiy gede bisa bisanya loh update seenak jidat nge hapus progression sama sistem yang emang tidak adil di biarin gitu aja. harusnya ganti aja team developernya😠😠😠😠 update terbaru makin buruk yg terburuk masa classic level di hilangkan yg tadinya level 11 jadi bebas? why aneh bet,339,2025-07-01 10:59:14,negative
Keling Bigbrain,2,"game pay to win / p2w, mode baru nya yang fusi juga gak jelas, giliran gw ngalahin musuh cuman 2 damage nya, giliran gw yang kena malah 5,developer gak ngotak banget",165,2025-07-07 12:25:24,negative
Mas Alex,1,Saya kasih bintang 1 sebenarnya game nya udah ok sayang lawanya ngga seimbang sama levelnya kadang trophy yang di dapat 26 pas turun 30 bikin frustasi game nya level kartu saya 10 level kartu lawan 13 / 14 ngga ngotak tolong di perbaiki lagi,241,2025-06-30 22:57:53,negative
Fairuz Zaidan,3,"makin lama makin malesin gamenya, udh sempurna dri segi apapun cmn gw ga sekali 2x tpi uda sering banget yang namanya lag jaringan. pdhl bagus' aja biasanya ilang sinyal pas detik' imbang antara menang atau kalah tinggal nentuin (2-3x eliksir) itu psti ilang sinyal ntah mode 1v1 ntah 2v2. hoki'an yang menang tipis banget eh malah sinyal lag, gw ss in tiap lag. tolong perbaikin gamenya",387,2025-06-21 07:48:45,negative
Hermansyah Karman,2,"Dari sekian game yang ada,ini yang paling jelek war nya... karena tidak seimbang pengaturan war nya,bayangkan saja kita yang level kecil lawan nya level gede...lv 10 vs 14 dan bahkan 15...bayangin aja perbedaan level rajanya...coba beda 1 digit,gak apa2... kepada pengembang tolong diperbaiki.. kalau gak hapus aja game nya",323,2025-05-31 13:49:38,negative
Al Zeea,1,"hey ko bisa main di liga ktmu nya dengan lawan yg jauh tinggi level nya belum pernah ada yang selevel,ktmu lawan level nya tingi2 ga asik dong ga level dong,apa harus nunggu level tinggi baru mainin liga,ga asik dong,apa saya terlalu jago,apa harus beli biar bisa main level kartunya,kalo beli kelihatan bodoh nya,tolong di maksimal kan ,",338,2025-06-19 20:04:48,negative
Doyo,5,"saya sangat suka dengan game ini,karena gameplay-nya sangat mudah dipahami,saya dulu sudah pernah main pas awal rilis,tapi dulu akun saya hilang,dan baru bisa main lagi pas saya kelas 12,semangat terus untuk developer,semoga sukses selalu.",239,2025-07-06 14:25:12,positive
Bimo Raditio,5,Tolong kami membantu kapan lagi ada masalah server loading yg telah waktu lamaa yg tidak saat bermain... Dan susah bgt si masalah game Clans royale,147,2025-07-05 17:18:55,negative
Jagoan Neon,5,Tolong untuk pondok goblin dikembalikan seperti semula karena terlalu over power dan menurut saya jelek banget mohon di perhatikan developer jangan hanya dicuekin tanpa kami kalian takkan ada uang ingat itu!!!!!,211,2025-07-07 14:56:38,negative
Blue Jupiterz (Denoy),1,"lawan tak seimbang, dikasih lawan level diatas terus, sering disconect dari zaman dulu sampai sekarang masih aja DC ditengah game ga dibenerin bertahun tahun, mau pake handphone murah sampai mahal, mau sinyal bagus di PUBG dan MOBILE LEGENDS ga guna di game ini, tetep DC trus, udah ketemu lawan beda level lebih tinggi ditambah DC juga, siapa yang ga kesel, main game buat refreshing bukan nambahin pusing..",408,2025-06-08 09:36:26,negative
Arill Mahesaa,2,"game nya asik main dari sd kelas 6, sekarang nyoba main lagi tambah asik tapi pas mau login malah mentok di 75% mulu wifi bagus hp kenceng tpi mentok mulu heran gw",163,2025-07-01 19:46:10,negative
Amad Kmy,1,sangat menyenangkan di awal eh pas udah masuk liga musuhnya di kasih yg gak ngotak masa level yg lebih tinggi Mulu game apaan....apa harus top up dlu Bru menang melawan lev di atas oh gak bisa lebih baik uninstall aja aplikasinya dari pada jengkel di kasih musuh yg kagak seimbang Mulu.....!!!!coba aja pikirkan lev kartu aja beda jauh mana bisa menang......,358,2025-05-28 02:57:13,negative
Deny,3,game nya bagus cuma jaringan nya tiba tiba suka ada logo wifi padahal sinyal full pas saya main coc clash of Clans lancar tolong developer perbaiki jaringan,156,2025-07-07 17:55:49,positive
vijey lm,5,"semua sudah ok. tapi sayang yang paling seru justru jarang sekali ada, yaitu elixir tak terbatas dan elixir 7x lipat. sepertinya sudah mulai berpikir uninstall.",160,2025-07-06 02:48:38,negative
Adhitya Rasya putra,1,"ini game paling pay to win sedunia Card Masih level 7/8 tapi card musuhnya level 9/12 gimana mau menang coba, bahkan ada yang card-nya level 15 di arena 1!? supercell fix your game pls seandainya clashroyale engga paytowin banget levelnya, adil game nya, pasti jadi seru dan rame lagi.",285,2025-06-17 06:26:54,positive
Ari Hidayat,5,Mau sampai kapan clash royal jadi game prematur game nya gak pernah seimbang cobalah bikin sistem pemerataan base lev 11 vs 11 gak papa kartu musuh up level asal base nya jangan 11 vs 12 kadang pas main di liga atau pas naikin thropy bisa ada 11 vs 14 gak gila apa tolong di perbaiki penyeimbangnya agar player bisa leluasa bermain.,332,2025-06-25 22:25:11,negative
Okitaaa,3,"Sebenarnya ni game seru, hadiahnya banyak, ga kikir, tapi masalahnya pencarian musuhnya, masa Gw main lvl raja 10 mau dapet reward Peti, malah di kasi Musuh lvl raja 11,Apalagi Mega knightnya lvl 14 ama punya boss bandit lagi, haduhh Udah kalah menang terus aku",261,2025-06-22 17:38:54,negative
Tambahrejo Village,5,Game yang bagus buat kompetitif dan emang awal awal kaya berasa gk adil ktemu lawan yang levelnya diatas kita dan sudah punya kartu legendary tapi lama kelamaan jika berusaha bisa melewati semua itu dan menjadi pro dan jago tanpa top up sepecerpun dan gw kasih rating 5 karena tiap bulan update dan tidak bikin bosan 👍👍👍,320,2025-06-30 18:42:02,positive
Alfarezi Fhalevi,1,game ini tidak adil bagi pemain yang tidak membayar dengan uang. perbedaan pemain yang menggunakan uang dan tidak sangat jauh. dulu memang aku suka dengan game ini tetapi saat aku memainkannya lagi sekarang terasa sangat tidak adil dan mengecewakan,248,2025-06-25 22:54:55,negative
sapril saputra,1,"game ga adil, ini game istilahnya hoki hokian siapa cepat elixsirnya dia yang menang mau, Sejago apapu rotasi lu kalo musuhnya beda level bakal tetap kalah, gamenya sama halnya kayak slot sudah di atur",201,2025-06-25 16:10:25,negative
Dwi Adib Rifai 19,1,"Saya beberapa kali bertemu dengan king's tower level 12, padahal king's tower milik saya baru level 11. Kartu kartu mereka juga bisa berwarna ungu yang membuat permainan jadi tidak seimbang",189,2025-06-14 17:18:06,negative
Cakun Pentol,1,"stupid game, signal issue, pay 2 win. masa sinyall bagus sering muncul notif sinyal, apa gak ada inovasi penggabungan sinyal wifi dan seluler?",142,2025-06-15 11:28:44,negative
pradipta kusumo,5,"harus maen sabar ya.. harus tahunan buat merasakan maen se level, ngga harus top up juga bisa sampai kartu elite, evolusi. saya main 10 tahun udah maks kartu, Evo banyak, king tower level 15",190,2025-06-09 10:24:34,positive
Agung Dwi Zaelani,2,"Game kocak, sudah 9 tahun bermain sering ketemu level tidak seimbang + card yang tidak seimbang pula. Mohon untuk Supercell menindaklanjuti keluhan dari para player agak kedepannya lebih baik lagi. Jangan terus update card/evo + event lainnya lagi sebelum keluhan² yang ada diperbaiki dahulu.",292,2025-05-26 12:48:03,negative
Sulthon Pt2,5,"Jangan mainkan game ini,game ini dibuat ""pay to win"" secara tidak langsung kalian akan melawan musuh yang tidak seimbang karena fitur ""pay to win"" memungkinkan kalian kesulitan bermain. saya rating 5 supaya komentar saya pling relevan dan semua orang dapat melihatnya",267,2025-06-06 19:36:23,negative
Hirup Keneh,1,"teruntuk developer yang terhormat, tolong jelaskan kenapa di game ini ketika saya bermain 1v1 antara 5 kali atau lebih , saya sering dipertemukan dengan lawan yang satu level hanya 1 atau dua kali saja dan sisanya bertemu dengan lawan yang jauh lebih tinggi level nya di atas saya?",281,2025-06-03 14:28:19,neutral
Imam muzaki,1,"susah main gratis, masa iya maen classic 1 vs 1 dikasih lawan full deck evolusi, clash royale udah full pay to win, gak cocok udah maen gratisan. padahal awal mau comeback login malah dikasih kesan jelek, udah bagus padahal mode clasic vs 1 dikasih lawan selevel, tapi apa gunanya, lawan pake deck evolusi, sedangkan pemain gratisan pake deck polosan tanpa skill tambahan, uninstall aja sekalian",395,2025-06-03 10:33:43,negative
ren,1,"Matchmaking nya gak balance, sometimes mereka kasih higher card level than us, ane baru selesai main tapi kok ada cheat nya tf 💀 plz fix this problem, ane males buat main lagi hmm",179,2025-05-29 15:39:42,negative
Mohammad Sinan P,1,"To Admin : dulu veteran CR 8 tahun main sbg F2P sampai bisa liga 5.mudah. sejak ada evolusi dan paket.pembelian beragam, pemainFl F2P sprti ane sering dapat musuh susah, buang2 waktu kl masih main game CT tanpa beli",215,2025-05-31 20:36:48,negative
KRISNA,5,"games nya bagus dan saya harap ada bnyk tantangan lagi dan event lebih banyak supaya, permainan lebih meyenangnakn dan menantang, permainannya sudah sangat menyenangkan.",169,2025-06-01 09:01:29,positive
Soffy Levia,1,"jancoookkk.. tiap mau menang selalu sinyal jelek macet kalau gak gitu keluar sendiri, tapi kalau kalah selalu lancar, apa harus kalah terus biar lancar terus. game bikin darah tinggi terus",188,2025-06-06 19:43:39,negative
Akeyla Fairuz Shafi,1,"Tolong untuk kembalikan war ke 1.0, karena war 2.0 sering mendapatkan lawan war yang tidak seimbang, dilihat dari jumlah pemain war nya. #givebackoldwar!!!",155,2025-06-02 07:50:20,negative
Emaile Dika,2,"ini supercell. tolong ya, mau balik main pake akun yang udah ada , tapi loginnya pake kode verifikasi ke email tapi kok tidak ada chat kodenya di email🥹🥹🥲 tolong ya ini akun ke5 saya yang ilang gara² butuh verifikasi",216,2025-05-21 05:12:35,negative
vincent hutomo,1,"Kayaknya sama spt player"" sebelumnya,matchmaking tdk adil,lvl tdk seimbang.saya main ini selalu kalah.masak saya hny bs keluarkan 2 krtu yg total 8 elixir,si musuh udh ngeluarin 7 elixir ditambah 5 eliksir.entah musuh cheater atau emg gk msk akal ngeluarin kartu",262,2025-06-02 08:25:02,negative
sutho sutho,1,ini game paling gak menyenangkan yang pernah saya mainkan masa kita level 11 musuh nya level 14 kan gak masuk akal bagi kalian semua yang mau download game ini lebih baik jangan download game lain aja ini game gak beres suka nyiksa pemainnya saya sampe nangis gara gara kalah terus jadi tolong jangan main game ini ya,317,2025-05-22 22:34:24,negative
andre sasmita,1,"Main game ini sejak pertama muncul gak ada perubahan. Game paling gak adil: 1. Selalu diberi lawan dengan level tinggi. 2. Elixir lawan selalu lebih cepat. 3. Kalau kalah akan dapat hinaan dari yang menang, karena banyak sticker provokasi 🤮. 4. Jangan main game ini, pay to win.",278,2025-06-13 11:56:25,negative
andi dandi,5,"sebelumnya terimakasih sudah Adain ivent evolusi gratis min,cuma saran saya tolong kembaliin tuker kepingan evolusi kayak dulu, untuk dapetin kepingin gratis sekarang rada susah,untuk player gratisan seperti saya sendiri, terimakasih",233,2025-05-29 22:27:15,negative
Rif'atur Rosyida Effendi,3,awal main udah enak bangett tapi kenapa akhir² ini setiap hari setiap mau main harus di update terus gabisa apa update nya berapa Minggu atau bulan sekali saja,159,2025-07-04 18:00:44,negative
Adi Trafalgar,3,"Merge tactic cukup bagus seperti Clash mini tapi delay nya lambat saat di mainkan, begitupun dengan hadiah penguasaan saat berganti Lencana juga melambat delay nya",163,2025-07-05 23:17:08,negative
Raditya Eza,1,saya main kalah terus lawan ga imbang benteng 11 lawan 13 aku dari arena dapur algojo sampe turun 2 arena yang ngotak sedikit lah masa game play to wincuman benteng di kasih skin di menagin terus gal adi tau ga nyesel nain 1 tahun,230,2025-07-07 15:46:46,negative
Win Mubarrak,4,tolong untuk tidak terlalu menjadi game pay to win sangat susah untuk player gratisan untuk bersaing saat melawan musuh yang top up Terima kasih 🙏,146,2025-07-07 00:08:02,negative
Wawan Ceper,1,"saya kasi bintang 1 karena game ini ga jelas, masa 10 kali main dpt musuh level tinggi terus, ditambah kartu musuh konter kartu kita semua",138,2025-07-07 22:24:10,negative
erfonda haykal,5,"Cuman satu kata buat deskripsi update terbaru ini, GILA, ini update paling bagus menurutku sejauh ini, buat ngambil langkah yang gk terduga nambahin fitur gameplay baru, Terima kasih👍👍",184,2025-07-02 20:15:32,positive
Krisna Aditya,1,"baru san update, tampilan game di hp menjadi sangat besar, seperti tampilan di Tablet. mohon di perbaiki.",105,2025-07-02 11:22:39,negative
rijal naufal,5,Tolong membantu game delevoper terbaru saja.. karena bug tidak loading sebab waktu lamaa telah susah bgt mau main bg,116,2025-07-05 11:56:01,negative
Ferro Agusta,1,"matchmaking nya suka ngelawak. sering banget ketemu lawan yg gak seimbang, levelnya lebih tinggilah, kartunya pada O.P. terus lawannya sering banget pake kartu yg butuh elixir besar tp bs dipake tanpa jeda yg lama",213,2025-06-24 15:14:16,positive
Muhammad Farandy,1,Matchmaking gak sesuai benteng masih level 11 ketemu yang udah level 14 tolong diperbaiki gak asik kalo kayak gitu,114,2025-07-01 00:24:56,negative
Bahrul Ulum,4,"setelah update game nya jadi agak ngelag,jaringan kuat tpi agak delay pas main delay",84,2025-07-01 19:46:09,negative
bimo harjo,1,"beda banget ama yang dlu , sekrng pay to win nya berasa banget hero evolusi ga jelas lah anjir, hero di atas legend ga balance banget, elixir kecil tapi op banget, sekrang lagi meta nya dek berat kaya peka sama mega knight, dek cicle kyk hog musketir dll ga op kyk dlu. ga jelas sekrang heronya",294,2025-06-08 03:04:12,negative
Willy Ahmad,1,"Matchmaking yang sangat buruk,memang bagus dipertemukan dengan trofi yang setara,tapi untuk dek?no.jelek,jelek banget.seorang pemula yang baru bermain dan sampai di arena 4 bertemu dengan seseorang yang sudah pernah ke arena 7?yang benar saja.apalagi dengan update Evo,semakin memperkeruh keadaan.player diharuskan untuk top up agar menang.jelas jelas sangat tidak adil untuk menjadi pemain yang f2p.kotak hadiah gratis juga sedikit,dan dan beberapa event berbayar terlalu banyak gap.",484,2025-04-22 23:52:00,negative
Andrew Sasmita,1,"Buat new Players siap-siaplah stress, ini Game gak adil: 1. Anda akan diberi Lawan dengan level tinggi. 2. Elixir lawan anda selalu lebih cepat. 3. Kalau anda kalah akan dapat hinaan dari yang menang🤮.",201,2025-06-11 23:21:35,negative
Alfinno Dewanda,2,"bagus, tapi ga pernah dapet lawan yg sepadan dapetnya yg pialanya banyak mulu, cape tau ga push nya kadang suka kesel sendiri sama nih game dapet lawan yg pialanya banyak semua",176,2025-05-21 16:58:22,negative
muraqi Ibadurrahman,5,"Game-nya seru, mekanik kartu dan strateginya bikin nagih. Tapi matchmaking-nya nggak adil, saya level 10 sering lawan level 12. Kartu baru juga kadang terlalu OP, jadi kesannya P2W. Padahal ini game udah keren banget, cuma perlu balancing biar lebih fair dan semua pemain bisa enjoy tanpa frustrasi. Semoga ke depannya makin baik!",330,2025-04-30 21:00:37,positive
06 _I Dewa Gede Aditya Jaya Pradipta,2,"Plis lah dari dulu sampai sekarang saya masih kesel soalnya selalu dapet musuh yang tidak seimbang,mulai dari level pasukan dan level benteng. Untuk kedepannya tolong dong berikan musuh yang imbang. emang batu kali supercell lawan ga pernah seimbang gimana game nya mau banyak pemain",283,2025-05-13 15:24:16,negative
edi pitoyo,3,"kangen juga dengan game ini karena beberapa lama uninstal gara"" problem jaringan,setelah instal lagi beneran jaringan lebih lancar. Tapi makin kesini kerasa banget kalau game ini 'pay to win',buktinya apa..evolusi kartu! Kalau ingin kartu yang punya kemampuan lebih ya harus evolusi kartu,kalau mau evolusi kartu harus kumpulkan keping kartu (iya sih kadang gratis,tp hanya hoki atau kartu umum saja),itu harus beli. Dan saya rasakan evolusi kartu sangat besar dampaknya pada pertarungan di game ini",499,2025-04-27 08:17:55,positive
Renux Gaming,1,"punya akun lama udh di kaitkan ke supercell id tpi ngga bisa login krna ngga ada kode Verifikasinya, game kunyuk bug banyak kg di urusin",136,2025-06-29 16:14:26,negative
Abiel Orlando Lumowa,3,"Ketika main di training day clan, lebih baik ketika bermain ketemu lawannya sesuai dengan level raja, ga adil level 12 ketemu level 14",134,2025-06-24 07:38:24,negative
Eka Saktiawan,3,"banyak bug mau ngeluarin kartu malah gak bisa keluar padahal sinyal bagus sehingga jadi kalah, berbaiki lagi tu bug 👎👎👎",119,2025-06-26 13:39:07,negative
Angga Jonatan,5,"tolong dong sistemnya benerin dong gua main menang terus ,ngasih musuh menang pakenya jaringan gua di jelekin dalam game hadehhhh gini amat buat musuh jadi menang 😄",164,2025-06-10 07:32:47,negative
Diki Fahmi Fadila,1,game yg membosankan. semua musuhnya deck nya itu2 saja. saking sulitnya dpt kartu dan upgrade kartu. game anj sinyak suka ilang2 sendiri,136,2025-06-13 21:48:45,negative
Kadek Dolar,1,"Bener2 game gk otak gua kasik tau lo yang mau instal game ini ,mending gak usah sejago apapun lo dikasik musuh yang level lebih tinggi 2x atau 3x",145,2025-06-13 21:40:23,negative
Kucing Oren,5,kok akhir2 ini klo masuk clash royale kayak susah dapat sinyal? padahal klo buka aplikasi lain bagus dinyalnya lancar2 aja,122,2025-06-09 15:40:18,positive
Cipto Suhari,1,"Game yang sangat tidak menghargai usaha pemain, kartu yang lama di kumpulin di nerf(diturunkan damagenya ) sangat mengecewakan. ini game ""pay to win"" kalau udah punya kartu evolusi dijamin menang skill 0 modal kartu evolusi",223,2025-06-11 21:26:14,negative
Benedictus Aditya,5,"Menurut pendapat saya, clash royale sangat cocok untuk bermain dengan strategi dengan kekuatan kesatria dan serangan, dari permainan olahraga.",142,2025-06-23 20:10:52,positive
eL diRaf,1,Selalu dapat lawan diatas level kita dan jika 2 vs 2 sering dapat tim/teman AfK. Tidak bisa direport teman yang AFK.,116,2025-06-04 15:14:41,neutral
Riko Tghkgjh,3,sangat bagus ...tetapi kalau suda level 9/10 .itu biasanya mendapatkan lawan tinggi tidak sesuai level kami,107,2025-06-05 17:05:54,negative
Gregorius Davey,1,"terlalu pay to win, level ga merata, keliatan banget bedanya, jangan main klo gamau top up",90,2025-05-25 22:49:30,negative
boedyono subagio,1,"game gateli musuh bisa keluarin 4 senjata, saya baru 2 aja lama padahal dalam waktu yg sama",91,2025-06-13 10:53:39,negative
Gerald Elyon Philetos,5,"Ini game aneh banget dah gk adil masa saya level 9 lawan musuh kok yg level 10,11,12 terus nyesel gw mainin selama ini :(",121,2025-06-30 17:54:41,negative
Integra Anderson,2,"Game stress, makin lama makin ga bener aja. Bisa"" nya tiap match ketemu musuh yg gap levelnya 3 sampai 4 kali lebih besar, hadiah dari peti juga sangat tidak worth, pas nyoba bikin akun baru malah dibikin stress karna dapatin peti kayu aja cuma dikit dan untuk buka peti ungu bisa sampai 12jam, ga bisa buka peti lain pula kalau peti sebelumnya belum selesai proses buka nya",374,2025-02-26 03:21:23,negative
N M NASIR,5,"terlalu lama waktu untuk membuka peti, peti emas saja 4 jam. dan harus diklik dulu baru baru waktunya kebuka, kalau bisa dalam membuka peti diberi sistem otomatis untuk membuka peti agar ketika offline bisa langsung kebuka semua tanpa login gamenya.",249,2025-01-30 08:57:03,negative
Icun Sunandar,5,kalo aku dapat musuh yang gak seimbang gak apa-apa ko itu meuji skli kita bermain kawan.sama aku sering ketemu musuh gak seimbang tapi enjoy aja,144,2025-07-03 18:18:51,positive
Egi Satria Dragon,2,kenapa lawan gw selalu di atas 2 level udah gitu beda level karakter nya sampah banget,86,2025-07-04 03:35:39,negative
ismu rajos,5,Gamenya sangat bagus tapi kalah di kartu eliksir musuh yang lebih cepat,71,2025-07-01 10:24:39,negative
Diamen 1,3,"maaf yah min,saya kasih bintang 3 soalnya sering ada JEDA PEMELIHARAAN ,itu yang bikin kami sedikit kurang suka dengan game ini🙏",128,2025-07-03 19:38:59,negative
Tommi Irawan,1,"setelah update makin gak jelas, mana mode 2 vs 2, update tuh yg bener mode gak jelas ditambahin, coba bikin mode 5 vs 5 pasti lebih seru, update tolol",150,2025-06-30 21:06:30,negative
kenzie alvaro,2,"terlalu banyak drama dan maintenance, dan sering ketemu lvl jauh diatas. dan ga imbnag matching nya",99,2025-07-03 18:05:24,negative
Ariadi Kembar,3,"setelah update loading jadi lama banget,padahal signal full",59,2025-07-02 19:07:29,negative
Zaki Zain,1,kebanyakan update sekarang!!! masak seminggu update sampe 3 kali lawan sering tidak seimbang dengan level kita tolong di benah i lagi!,134,2025-07-04 15:48:24,negative
Rangga S,1,"Gamenya seru tapi yg bikin kurang nyaman lawannya ga seimbang, klo lawannya ga seimbang minimal drop rate peti saat menang itu di gedein rate peti emas keatas, karena denga rate yg gede walaupun kita beda level kita bisa mengejar ketertinggalan lvl kartunya biar seimbang.",272,2025-02-17 02:00:02,positive
Mulia Hari,1,"Matchmaking semakin tidak adil. Persentase kemenangan hanya 20%, dimana player pay to win semakin banyak, selalu dipertemukan lawan yang tidak sebanding, dan level nya di atas milik kita. Perolehan legendary card pun sangat sulit, terpaksa saya berikan bintang satu, karena selama 9 tahun bermain tidak ada perkembangan dalam sistem matchmaking, dan semakin buruk. ditambah update sekarang semakin susah untuk up level, tidak rekomendasi untuk bermain lagi, mending uninstall",475,2025-04-09 10:31:48,negative
Dzaki Novprian,1,"Game nya membosankan!!!,tiap kali mau main selalu ketemu musuh yg levelnya 1/2 diatas kita saya level 7 selalu ketemu level 8/9 walaupun pakai card yg bagus tetep aja klo kalah level kalah,tolong di perbaikan dong kasih level yg setara dengan kita mohon diperbaikan,GAME PAY TO WIN KOCAK",287,2025-03-02 06:45:25,negative
Alll,1,"beberapa hari akhir ini dikasih musuh yang ga setara. entah itu bot atau bukan (asumsi saya mungkin bot karna setiap match ketemu yg tanpa clan). walaupun begitu menyulitkan saya karena Hero deck saya tidak bisa mengimbangi lvl deck lawan, pun jika ingin menang hanya mengandalkan hoki. karena level yg tidak setara membuat saya kalah terus menerus tolong supercell sbg developer jika mmg game ini sepi tolong bot atau musuh diseimbangkan lvl nya. Ini saya masih level 11 dikasih musuh level 13 & 14",499,2025-03-28 05:29:18,negative
Nopal Ady wijaya,5,"game keren,tolong lebih di update mode taktik fusi soalnya seruu bangettt",73,2025-07-03 17:41:17,positive
Gilang Fathurahman,3,"Game nya bagus, seru, dan mengasah strategi kita. Tetapi untuk reward peti nya lama banget waktu untuk membukanya. Kadang sinyal tidak stabil. untuk matchmaking sih tidak ada masalah, toh sesuai strategi kita aja dalam bermain.",227,2025-02-18 06:49:11,positive
Ziad Ilyas,1,"Rusak nih game. seakan-akan setiap menang/kalah udah diatur, saya sadar pengisian elixir terkadang cepet atau lambat banget, kalo cepet bisa kaya spam kartu kalo lambat gila cuma bisa nonton ngga bisa ngelawan sama respawn hero delay buat kalah aja...",251,2025-03-12 06:47:35,negative
Iqbal B.s,1,"taktik fusi saya tiba-tiba ke reset jadi 0 trofi nya udah susah payah ngepush,ini bug apa gimana,ngerugiin banget",113,2025-07-04 01:15:55,negative
Bravo Cell,1,"game nya seru, tapi dikit² update mana update nya 800 mb terus lagi boros kalo pake kuota",89,2025-07-01 21:22:45,negative
Oinl Ore,1,"LV 6 lawan lv8 ya kalah la anj yang bener aja matchmaking iya per tier arena tapi minimal ada batasan LV, 1 tier diatas ato 1 tier dibawah",138,2025-06-19 23:11:02,negative
Muh faiz Faiz,5,"game strategi yang cocok buat lo yang mau nyantai, udah lah kuy download aja",76,2025-07-07 14:46:17,positive
anggoro aang,1,Terlalu sering update... membosankan..!! Sekarang game jadi berat..!! Cuk...!!,78,2025-07-05 18:28:47,negative
